#{"t_start": 1622658581.794474, "env_id": "HalfCheetah-v2"}
r,l,t
223.700039,1000,161.140093
144.005798,1000,161.769779
233.186937,1000,163.541221
242.526063,1000,164.17063
202.299903,1000,165.950252
205.571319,1000,166.575324
-62.519126,1000,168.356076
-122.661158,1000,168.986301
101.96183,1000,170.746121
293.842624,1000,171.36897
-189.636352,1000,173.15038
47.977584,1000,173.775363
235.968795,1000,175.574237
-37.50682,1000,176.209181
207.367734,1000,177.969081
278.147477,1000,178.598738
330.643754,1000,180.360031
258.476145,1000,180.990188
190.904656,1000,182.772046
324.876508,1000,183.39535
272.832309,1000,185.154502
167.162839,1000,185.782366
358.347356,1000,187.529275
342.268253,1000,188.156703
372.018133,1000,189.908474
348.874123,1000,190.538865
295.395246,1000,192.308257
278.383192,1000,192.928536
296.915277,1000,194.688727
340.324827,1000,195.320584
112.535915,1000,197.135466
283.872707,1000,197.762538
365.192842,1000,199.542714
354.616408,1000,200.166354
423.795204,1000,201.935563
354.920328,1000,202.582975
433.919453,1000,204.349414
385.935543,1000,204.974332
468.395142,1000,205.624696
183.431646,1000,207.39422
501.913072,1000,208.029292
341.413179,1000,209.796142
-117.64275,1000,210.422211
227.768883,1000,212.188107
225.181074,1000,212.825057
425.119533,1000,214.58327
499.094976,1000,215.205816
432.41222,1000,216.952153
473.677866,1000,217.575078
422.89977,1000,219.324141
292.228786,1000,219.943275
466.174586,1000,221.710514
395.872369,1000,222.35154
426.863859,1000,224.171621
540.517989,1000,224.812732
479.148921,1000,226.611523
279.437856,1000,227.242055
49.761978,1000,229.084573
454.99181,1000,229.714429
539.110973,1000,231.707743
470.743811,1000,232.386537
593.467366,1000,234.214793
569.1095,1000,234.832373
520.815947,1000,236.618889
518.948885,1000,237.346104
539.387318,1000,239.246942
605.769027,1000,239.975958
328.359317,1000,242.386315
346.01213,1000,243.092197
653.340433,1000,244.912879
492.839235,1000,245.550515
337.806126,1000,247.95391
526.981505,1000,248.65281
482.891184,1000,251.638615
692.850074,1000,252.378288
600.554862,1000,254.187074
551.217333,1000,254.816497
408.059905,1000,256.624914
391.866562,1000,257.267527
633.47747,1000,259.095704
503.543804,1000,259.723415
338.918663,1000,260.350478
584.578231,1000,262.120535
671.860412,1000,262.750796
659.332826,1000,264.518016
585.857766,1000,265.150938
413.550303,1000,266.921129
609.893812,1000,267.559137
246.89257,1000,271.226501
341.391776,1000,272.520245
700.620841,1000,274.455606
441.449212,1000,275.073832
14.933592,1000,276.873653
-20.446289,1000,277.497194
178.995737,1000,279.293183
480.154513,1000,279.913331
632.559418,1000,281.682867
642.704821,1000,282.317097
663.350059,1000,284.190989
599.723365,1000,284.822841
510.508469,1000,286.596052
545.894132,1000,287.21947
538.907834,1000,289.032766
250.565792,1000,289.655599
348.668091,1000,291.637789
361.473847,1000,292.254719
722.666177,1000,294.129893
723.178842,1000,294.800142
249.523116,1000,296.56468
629.293415,1000,297.192711
446.544121,1000,299.058016
671.898352,1000,299.782009
468.081091,1000,301.704065
620.671224,1000,302.453343
758.818229,1000,304.810127
433.487781,1000,305.444646
589.106166,1000,307.814003
751.422716,1000,308.570477
437.785419,1000,310.757588
724.87343,1000,311.588916
669.374561,1000,313.506947
-220.561669,1000,314.347161
591.479937,1000,314.970281
518.084475,1000,316.773044
503.689535,1000,317.405993
672.00599,1000,319.313188
671.055742,1000,319.99594
672.762035,1000,322.401943
629.15195,1000,323.242698
644.921431,1000,326.368124
440.288889,1000,327.539566
380.699775,1000,330.634179
693.440652,1000,332.166482
759.489403,1000,334.780591
579.681968,1000,335.413149
671.373946,1000,339.470759
212.584135,1000,340.229309
194.422104,1000,342.255741
605.284816,1000,342.898639
519.609601,1000,344.72007
-75.976356,1000,345.34976
619.155109,1000,347.245613
725.995947,1000,347.87256
467.341063,1000,349.645692
659.378252,1000,350.272419
531.324692,1000,352.035015
200.901417,1000,352.682816
643.599946,1000,354.451386
673.153477,1000,355.073569
687.944438,1000,356.83896
709.932431,1000,357.472549
302.707623,1000,359.386534
767.458222,1000,360.047107
604.197873,1000,361.830892
741.602452,1000,362.482896
68.314996,1000,364.229772
715.525227,1000,364.850203
694.437602,1000,366.682118
793.309681,1000,367.416978
790.033317,1000,369.250503
690.464067,1000,369.872108
739.761408,1000,371.636148
749.264032,1000,372.26237
711.552563,1000,374.034252
736.453571,1000,374.653107
602.087425,1000,375.42912
480.621063,1000,377.542292
786.548215,1000,378.179892
756.629339,1000,379.987708
822.18338,1000,380.612875
621.887759,1000,382.372923
721.455901,1000,383.018523
241.905409,1000,384.794974
524.355589,1000,385.422857
710.665863,1000,387.190056
759.317412,1000,387.819887
839.505647,1000,389.581394
692.971936,1000,390.209358
635.554001,1000,391.987936
578.043836,1000,392.646696
777.41323,1000,394.443403
651.487418,1000,395.223883
787.269387,1000,397.062451
746.580014,1000,397.690507
547.762477,1000,399.465704
756.283004,1000,400.098061
680.920689,1000,401.867813
326.114078,1000,402.510616
711.706053,1000,404.285161
806.389687,1000,404.907985
732.942565,1000,406.676024
858.019376,1000,407.30013
674.916372,1000,409.091174
806.299233,1000,409.727218
729.730901,1000,411.492208
829.196954,1000,412.128675
760.848275,1000,413.884804
842.53254,1000,414.52292
729.652843,1000,416.319409
639.178421,1000,416.931439
-315.729926,1000,418.683311
721.621757,1000,419.305286
539.120924,1000,421.119506
483.170795,1000,421.75842
849.057718,1000,423.545116
682.99606,1000,424.169894
799.616116,1000,425.932607
660.358047,1000,426.56305
863.674972,1000,427.200156
753.429748,1000,428.956079
792.912457,1000,429.591478
501.898759,1000,431.355818
831.157139,1000,431.984762
543.466426,1000,433.762772
542.830269,1000,434.397907
505.268053,1000,436.158911
434.660111,1000,436.831456
885.946814,1000,438.634647
764.471612,1000,439.263446
639.468664,1000,441.497992
740.059678,1000,442.495038
815.819212,1000,444.581972
766.939429,1000,445.23097
896.364731,1000,447.07158
459.075504,1000,447.701826
731.01869,1000,449.564995
808.729252,1000,450.234167
26.420088,1000,452.041498
645.983734,1000,452.694285
471.020606,1000,454.52394
704.223842,1000,455.140444
779.232664,1000,456.950067
609.620657,1000,457.613617
676.273738,1000,459.477573
624.685195,1000,460.123049
705.7875,1000,462.030579
846.190968,1000,462.723797
916.660957,1000,464.546391
871.597405,1000,465.165961
798.118133,1000,467.0059
824.978541,1000,467.652165
745.516203,1000,469.509368
773.199241,1000,470.133224
816.693275,1000,471.949924
552.460614,1000,472.590567
770.676208,1000,474.384287
823.070625,1000,475.016166
784.615492,1000,476.795301
948.449504,1000,477.418617
611.233436,1000,479.18682
867.868338,1000,479.803548
839.715359,1000,480.420203
797.756489,1000,482.192179
602.609434,1000,482.810964
641.064266,1000,484.583083
916.578774,1000,485.20929
937.644433,1000,486.989638
869.746032,1000,487.62109
852.3002,1000,489.381499
419.788324,1000,489.997691
653.310561,1000,491.760585
660.223678,1000,492.405153
930.551448,1000,494.180826
-354.314003,1000,494.804995
753.725545,1000,496.606721
814.104948,1000,497.229918
835.680093,1000,499.062226
862.339635,1000,499.703639
718.212891,1000,501.466877
674.834649,1000,502.091045
848.750698,1000,503.878586
685.836426,1000,504.496366
829.092719,1000,506.297019
861.795226,1000,506.922111
780.977383,1000,508.694194
667.710398,1000,509.330814
855.167729,1000,511.091718
863.82278,1000,511.716488
593.104674,1000,513.500844
863.809839,1000,514.121635
675.361511,1000,515.891337
267.186694,1000,516.504919
817.113649,1000,518.266075
730.183543,1000,518.896981
611.345211,1000,520.675905
726.738602,1000,521.299982
859.61688,1000,523.089101
826.18702,1000,523.71244
840.97747,1000,525.564266
733.152313,1000,526.18806
823.262986,1000,527.992543
909.453287,1000,528.642786
796.95311,1000,530.476752
804.260532,1000,531.095351
884.179499,1000,531.722752
699.220757,1000,533.607827
736.388953,1000,534.227266
909.72397,1000,535.997565
988.621141,1000,536.635118
858.976563,1000,538.412689
826.432418,1000,539.049791
447.428737,1000,540.938001
876.708604,1000,541.595942
963.502892,1000,543.370391
889.586777,1000,543.999273
814.946177,1000,545.749263
274.989932,1000,546.378551
873.098469,1000,548.130996
935.633029,1000,548.75962
479.517068,1000,550.529212
849.029894,1000,551.151054
706.888121,1000,552.927288
889.079477,1000,553.559184
884.890107,1000,555.316955
858.366948,1000,555.939772
158.559628,1000,557.935787
856.053625,1000,558.571658
855.457931,1000,560.437912
949.912415,1000,561.059074
893.481688,1000,562.850096
926.768584,1000,563.486428
823.933755,1000,565.435739
501.674032,1000,566.13789
737.438978,1000,568.056925
932.161862,1000,568.710896
612.694583,1000,570.559201
955.835547,1000,571.189309
698.633118,1000,573.034674
947.907754,1000,573.713269
949.709497,1000,575.547089
779.949131,1000,576.170589
952.463343,1000,578.095041
748.609711,1000,578.782079
815.979009,1000,580.615709
975.423733,1000,581.240101
858.769654,1000,583.04849
937.417373,1000,583.672848
893.766786,1000,584.31254
768.144532,1000,586.077679
906.752645,1000,586.712731
945.450398,1000,588.499683
969.533767,1000,589.116164
737.031519,1000,590.887706
942.568501,1000,591.522582
919.82263,1000,593.322879
647.639245,1000,593.939101
810.33112,1000,595.699949
944.096469,1000,596.34828
710.798354,1000,598.103991
492.269779,1000,598.740748
942.525774,1000,600.504079
346.096556,1000,601.131025
848.122282,1000,602.921453
940.979471,1000,603.544969
881.07144,1000,605.306673
898.75493,1000,605.94307
944.305555,1000,607.753019
842.565988,1000,608.391009
722.662679,1000,610.179565
897.600638,1000,610.811229
1006.715424,1000,612.647834
451.323723,1000,613.280089
896.377966,1000,615.059879
705.726796,1000,615.688455
895.455579,1000,617.514146
909.783121,1000,618.160889
874.469983,1000,619.935686
842.074701,1000,620.566382
863.423758,1000,622.35121
539.577151,1000,622.989025
979.356876,1000,624.77371
856.162889,1000,625.407927
1036.861135,1000,627.183496
926.785672,1000,627.827708
902.911476,1000,629.615024
716.428461,1000,630.237485
944.692547,1000,632.038941
1041.971054,1000,632.692067
938.700966,1000,633.338431
913.468481,1000,635.127697
848.507076,1000,635.760166
937.868546,1000,637.546033
1009.837743,1000,638.176596
764.715423,1000,639.932925
846.029344,1000,640.558229
912.341648,1000,642.329045
667.432575,1000,642.973671
894.487898,1000,644.74611
861.029378,1000,645.374305
941.906201,1000,647.139031
570.172376,1000,647.758532
971.503305,1000,649.589833
856.1889,1000,650.220991
940.110927,1000,651.994647
972.817035,1000,652.650422
901.759738,1000,654.507886
1011.273405,1000,655.121451
367.37659,1000,656.911652
946.027711,1000,657.537096
947.5885,1000,659.311218
777.399921,1000,659.948303
839.377257,1000,661.707807
659.460351,1000,662.337137
891.007696,1000,664.123369
743.713119,1000,664.752724
891.388539,1000,666.514766
920.913156,1000,667.146761
980.692756,1000,668.91025
894.447281,1000,669.530762
976.004001,1000,671.28999
782.536668,1000,671.914175
828.854299,1000,673.707495
532.52054,1000,674.34019
791.742261,1000,676.104101
914.008088,1000,676.787756
532.131304,1000,678.616732
930.626984,1000,679.242692
1074.63182,1000,681.020134
852.12404,1000,681.836125
634.434661,1000,684.037229
757.270324,1000,684.711432
864.462414,1000,685.422835
888.297188,1000,687.50901
994.400266,1000,688.20469
978.908909,1000,690.321376
764.678054,1000,691.068312
851.448682,1000,693.124558
957.636493,1000,693.849541
1043.664943,1000,697.39661
846.137562,1000,698.160419
994.946797,1000,700.250105
755.816377,1000,700.854676
978.524982,1000,702.582472
759.981069,1000,703.193313
845.705231,1000,704.933914
960.360052,1000,705.532135
1017.430958,1000,707.284247
1066.703752,1000,707.882614
947.270996,1000,709.6711
940.261203,1000,710.269713
992.15348,1000,712.00988
805.5784,1000,712.628479
832.346062,1000,714.37429
