#{"t_start": 1622654718.476987, "env_id": "CartPole-v1"}
r,l,t
500.0,500,156.074092
500.0,500,156.283362
500.0,500,156.497889
500.0,500,156.707793
500.0,500,157.95422
500.0,500,158.163261
500.0,500,158.371307
500.0,500,158.588394
500.0,500,159.96699
500.0,500,160.177483
500.0,500,160.386645
500.0,500,160.605996
500.0,500,161.876285
500.0,500,162.09436
500.0,500,162.303815
500.0,500,162.517147
500.0,500,163.76412
500.0,500,163.984156
500.0,500,164.196392
500.0,500,164.407324
500.0,500,165.672225
500.0,500,165.882431
500.0,500,166.100868
500.0,500,166.310842
500.0,500,167.627257
500.0,500,167.876986
500.0,500,168.090786
500.0,500,168.297855
500.0,500,168.513031
500.0,500,169.792015
500.0,500,170.005048
500.0,500,170.214591
500.0,500,170.428916
500.0,500,171.677196
500.0,500,171.886212
500.0,500,172.103085
500.0,500,172.386257
500.0,500,173.63148
500.0,500,173.843238
500.0,500,174.060075
500.0,500,174.269537
500.0,500,175.522247
500.0,500,175.739088
500.0,500,175.958002
500.0,500,176.167292
500.0,500,177.415751
500.0,500,177.641784
500.0,500,177.871633
500.0,500,178.091781
500.0,500,179.351436
500.0,500,179.568097
500.0,500,179.78444
500.0,500,180.003141
500.0,500,181.267563
500.0,500,181.482045
500.0,500,181.693609
500.0,500,181.906238
500.0,500,183.154851
500.0,500,183.364032
500.0,500,183.580205
500.0,500,183.792303
500.0,500,185.059633
500.0,500,185.269847
500.0,500,185.487505
500.0,500,185.712113
500.0,500,186.953177
500.0,500,187.161908
500.0,500,187.369233
500.0,500,187.582895
500.0,500,188.822874
500.0,500,189.03704
500.0,500,189.24472
500.0,500,189.462277
500.0,500,189.671515
500.0,500,190.914764
500.0,500,191.131614
500.0,500,191.341351
500.0,500,191.557638
500.0,500,192.933729
500.0,500,193.144874
500.0,500,193.353365
500.0,500,193.571974
500.0,500,194.837236
500.0,500,195.05376
500.0,500,195.262898
500.0,500,195.478276
500.0,500,196.786851
500.0,500,196.99971
500.0,500,197.218068
500.0,500,197.434089
500.0,500,198.685491
500.0,500,198.893404
500.0,500,199.110281
500.0,500,199.318765
500.0,500,200.566725
500.0,500,200.780485
500.0,500,200.993009
500.0,500,201.202609
500.0,500,202.454026
500.0,500,202.667365
500.0,500,202.876898
500.0,500,203.091774
500.0,500,204.334437
500.0,500,204.551415
500.0,500,204.763838
500.0,500,204.979266
500.0,500,206.232803
500.0,500,206.451096
500.0,500,206.659337
500.0,500,206.8698
500.0,500,208.119604
500.0,500,208.328376
500.0,500,208.542682
500.0,500,208.751703
500.0,500,208.966977
500.0,500,210.20686
500.0,500,210.418283
500.0,500,210.630748
500.0,500,210.839916
500.0,500,212.090861
500.0,500,212.299351
500.0,500,212.514499
500.0,500,212.724109
500.0,500,213.964652
500.0,500,214.173821
500.0,500,214.382053
500.0,500,214.598765
500.0,500,215.893714
500.0,500,216.1104
500.0,500,216.319419
500.0,500,216.535988
500.0,500,217.777754
500.0,500,217.99517
500.0,500,218.207133
500.0,500,218.421727
500.0,500,219.727236
500.0,500,219.943372
500.0,500,220.152986
500.0,500,220.360414
500.0,500,221.633909
500.0,500,221.845018
500.0,500,222.059908
500.0,500,222.269329
500.0,500,223.513031
500.0,500,223.732741
500.0,500,223.947135
500.0,500,224.157126
500.0,500,225.414836
500.0,500,225.641047
500.0,500,225.853278
500.0,500,226.06653
500.0,500,227.344915
500.0,500,227.566492
500.0,500,227.777542
500.0,500,227.991192
500.0,500,229.230178
500.0,500,229.444629
500.0,500,229.654099
500.0,500,229.86164
500.0,500,230.078005
500.0,500,231.333029
500.0,500,231.54845
500.0,500,231.758359
500.0,500,231.977381
500.0,500,233.26617
500.0,500,233.484184
500.0,500,233.693241
500.0,500,233.922912
500.0,500,235.169503
500.0,500,235.378902
500.0,500,235.608883
500.0,500,235.827101
500.0,500,237.080538
500.0,500,237.290461
500.0,500,237.509568
500.0,500,237.749073
500.0,500,239.038595
500.0,500,239.252115
500.0,500,239.479946
500.0,500,239.697363
500.0,500,241.074447
500.0,500,241.311581
500.0,500,241.533749
500.0,500,241.745608
500.0,500,243.178417
500.0,500,243.41242
500.0,500,243.627842
500.0,500,243.846287
500.0,500,245.170236
500.0,500,245.383444
500.0,500,245.641426
500.0,500,245.882384
500.0,500,247.153398
500.0,500,247.448744
500.0,500,247.701186
500.0,500,247.945407
500.0,500,249.310495
500.0,500,249.53001
500.0,500,249.790966
500.0,500,250.004303
500.0,500,250.212707
500.0,500,251.470217
500.0,500,251.6805
500.0,500,251.889964
500.0,500,252.106
500.0,500,253.35284
500.0,500,253.56919
500.0,500,253.778778
500.0,500,253.994235
500.0,500,255.238201
500.0,500,255.454669
500.0,500,255.680006
500.0,500,255.891824
500.0,500,257.148804
500.0,500,257.358609
500.0,500,257.576417
500.0,500,257.792768
500.0,500,259.037996
500.0,500,259.246201
500.0,500,259.459084
500.0,500,259.668811
500.0,500,260.910477
500.0,500,261.122918
500.0,500,261.332084
500.0,500,261.54598
500.0,500,262.789284
500.0,500,263.005384
500.0,500,263.214357
500.0,500,263.433395
500.0,500,264.681642
500.0,500,264.893731
500.0,500,265.108957
500.0,500,265.317867
500.0,500,266.582884
500.0,500,266.793602
500.0,500,267.007595
500.0,500,267.217173
500.0,500,268.535865
500.0,500,268.749522
500.0,500,268.961626
500.0,500,269.170292
500.0,500,270.416957
500.0,500,270.636631
500.0,500,270.908255
500.0,500,271.12048
500.0,500,271.334626
500.0,500,272.595425
500.0,500,272.809882
500.0,500,273.026325
500.0,500,273.238806
500.0,500,274.491657
500.0,500,274.70043
500.0,500,274.918684
500.0,500,275.126979
500.0,500,276.388789
500.0,500,276.605816
500.0,500,276.816297
500.0,500,277.029391
500.0,500,278.268312
500.0,500,278.484515
500.0,500,278.69519
500.0,500,278.905698
500.0,500,280.206915
500.0,500,280.422667
500.0,500,280.633297
500.0,500,280.841355
500.0,500,282.109963
500.0,500,282.319372
500.0,500,282.535854
500.0,500,282.758293
500.0,500,284.006308
500.0,500,284.214587
500.0,500,284.428127
500.0,500,284.640951
500.0,500,285.90349
500.0,500,286.116883
500.0,500,286.330455
500.0,500,286.545128
500.0,500,287.792244
500.0,500,288.005447
500.0,500,288.213333
500.0,500,288.428124
500.0,500,289.665619
500.0,500,289.876519
500.0,500,290.090733
500.0,500,290.29877
500.0,500,290.515443
500.0,500,291.774268
500.0,500,291.990129
500.0,500,292.207844
500.0,500,292.425184
500.0,500,293.662779
500.0,500,293.931611
500.0,500,294.141406
500.0,500,294.349375
500.0,500,295.61424
500.0,500,295.827436
500.0,500,296.044092
500.0,500,296.252594
500.0,500,297.498139
500.0,500,297.707238
500.0,500,297.92407
500.0,500,298.138713
500.0,500,299.384462
500.0,500,299.599713
500.0,500,299.807382
500.0,500,300.026697
